"año","nombreestablecimiento","zona","direccion","telefono","nombre_Rector","tipo_Establecimiento","sector","niveles","jornadas","especialidad","grados","numero_de_Sedes","estado","correo_Electronico"
"2,016","INST DE BTO TEC COMERCIAL PITAGORAS                                                                 ","URBANA","KR 5 11 67","5665677   / 3429092","YOLANDA ARIAS CRUZ","INSTITUCION EDUCATIVA",,"MEDIA,BÁSICA SECUNDARIA","COMPLETA","COMERCIAL,ACADÉMICA","6,7,8,9,10,11","1",,"pitagoras@pitagoras.edu.co"
"2,016","GIMNASIO INFANTIL FEDERICO FROEBEL","URBANA","CL 32 SUR 52 A 54","7100349","SANDRA MILENA MENDEZ","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,"gimfedebel@hotmail.com"
"2,016","GIMNASIO INFANTIL LOS NIÑOS DEL MAÑANA","URBANA","CL 134 D 47 27","6010350","CLAUDIA BOCACHICA SAENZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5,6,7,8,9","1",,"claudialindenibocachica@hotmail.com"
"2,016","COLEGIO FRANCISCO PRIMERO S.S. (IED)","URBANA","KR 28 63 64","2126019 -- 2481271","JOSE CUSTODIO GALARZA MORENO","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,ÚNICA,TARDE","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,99","4",,"cedalemania12@redp.edu.co"
"2,016","COL SAN JUAN VIANETH                                                                                ","URBANA","KR 2 C 3 18 SUR","2804738 -- 4714934","GLORIA ESPERANZA CHUQUIN LAISECA","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA,COMPLETA",,"0,1,2,3,4,5","1",,"colegiosanjuanviateh@hotmail.com -- colegiosanjuanvianeth@latinmail.com"
"2,016","COL SAN PATRICIO                                                                                    ","URBANA","KR 80 137 02","6838640 -- 6815357","PAULINA ENCINALES DE SANJINES","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA","COMPLETA","ACADÉMICA","-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"correo@colegiodesanpatricio.edu.co"
"2,016","COL CRISTIANO FUENTE DE VIDA                                                                        ","URBANA","CL 89 A BIS B 113 45","4316805","SANDRA PATRICIA ESPITIA","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"fuentedevida9@latinmail.com                       "
"2,016","LIC PARROQ SAN JOSE                                                                                 ","URBANA","TV 13 H 45 F 33 SUR","7607585","ANDRES PEREZ LIZARAZO","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,COMPLETA","COMERCIAL,ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"lpsj2003@yahoo.com"
"2,016","LIC ESTRELLITA ESTUDIANTIL                                                                          ","URBANA","KR 64 64 64","2310592","PATRICIA CASTIBLANCO TORRES","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,"lee5815@hotmail.com   estrellitaestudiantil@hotmail.com                               "
"2,016","COL LUIGI PIRANDELLO","URBANA","KR 113 74 B 06","4424545 -- 2286068","JORGE HERNAN NARANJO PUERTAS","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"clp2013academico@gmail.com -- clp.secretaria@gmail.com -- academicaclp@gmail.com"
"2,016","JARDIN INFANTIL CAMPESTRE MI BELLA IMAGEN                                                           ","URBANA","KR 17 164 39","6727120","LUZ STELLA GAMBOA GALVIS","CENTRO EDUCATIVO",,"PREESCOLAR","COMPLETA",,"-3","1",,"pinzonuseche@hotmail.com"
"2,016","COLEGIO MARCO FIDEL SUAREZ (IED)","URBANA","DG 52 SUR 25 00","2388713  --  2304300  --  7410022","MIGUEL ANGEL GOMEZ PAEZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","MAÑANA,TARDE","ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"coldimarcofidelsua6@redp.edu.co"
"2,016","INST ORESTES SINDICI                                                                                ","URBANA","CL 63 A SUR 70 G 84","7754882","JOSE DONATO CRIALES","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11","1",,"orestesindici@yahoo.com"
"2,016","COL DEL BOSQUE                                                                                      ","URBANA","KR 65 170 25","6772499 -- 6729277 -- 6733068","MARIA STELLA OVIEDO ROJAS","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","1",,"rectoria.delbosque@uan.edu.co -- tesoreria.delbosque@uan.edu.co"
"2,016","INST SANTA INES                                                                                     ","URBANA","KR 46 A 71 85","2319669","MARIA NEIFFE RAMIREZ B.","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","COMPLETA",,"-2,-1,0,1,2,3,4,5","1",,
"2,016","CENTRO DE EDUCACION LABORAL","URBANA","AC 72 77 A 73","5440960 -- 4371664 -- 5454268 -- 3143345344","YOLANDA CUBAQUE MENDOZA","INSTITUCION EDUCATIVA",,"MEDIA,BÁSICA SECUNDARIA","COMPLETA,NOCTURNA","ACADÉMICA","6,7,8,9,10,11,23,24,25,26","1",,
"2,016","LIC ADOLFO LEON GOMEZ                                                                               ","URBANA","KR 3 ESTE 101 A 08 SUR","7682486","DORIS MOLINA DE REYES","INSTITUCION EDUCATIVA",,"MEDIA,BÁSICA SECUNDARIA","NOCTURNA,FIN DE SEMANA","OTRO,COMERCIAL","23,24,25,26","1",,"colegio_lalg@hotmail.com"
"2,016","COL CENTRO CULTURAL                                                                                 ","URBANA","CL 72 SUR 2 A 32","5699286 -- 7623886","LUZ EDITH BARAHONA SUAREZ","INSTITUCION EDUCATIVA",,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMPLETA","OTRO,ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11,22,23,24,25,26","1",,"colegiocentrocultural22@latinmail.com"
"2,016","LIC PEDAGOGICO  LOS SAUCES                                                                          ","URBANA","CLL. 134 NO.105A-04","6883725","DILIA DE JESÚS ARIAS MARTÍN","CENTRO EDUCATIVO",,"PREESCOLAR,BÁSICA PRIMARIA","MAÑANA",,"-2,-1,0,1,2,3,4,5","1",,
